,Name,ReviewCount,Brand,ImageURL,Rating
2609,"Nicole by OPI Nail Lacquer, Next Stop the Bikini Zone A59, .5 fl oz",1,opi,https://i5.walmartimages.com/asr/a3436bdc-e2e5-4c0c-b55c-0b2cbfbd7757_1.dfbc7c5baecd7674a3dfb60c84daf4b7.jpeg | https://i5.walmartimages.com/asr/c2a0f417-6ff8-4897-90d1-245c95120968_1.fbe74583b49fae6e244072d37ecdfae7.jpeg | https://i5.walmartimages.com/asr/2b9ad826-a70f-4840-bd44-13aa1470333f_1.872ac5b64b61e2cc492e5cf7e748f0fb.jpeg | https://i5.walmartimages.com/asr/9ff61eaf-7d12-4e46-b952-8a621119f308_1.1d4cecd3bcac85150a68e70d3325c307.jpeg | https://i5.walmartimages.com/asr/da0b9c90-5ef0-468d-931a-2bb9fdf3793d_1.a609ee51799b22f581278fcdb3feb3f5.jpeg | https://i5.walmartimages.com/asr/75dbca18-fec4-4c55-abd1-04a576b35c11_1.80f4e1d7e02cb992f129610a507ae83e.jpeg,5
3124,"R+Co Aircraft Pomade Mousse, 5.6 Oz",1,,https://i5.walmartimages.com/asr/03319cbe-7f61-42d3-afa9-4c2ac5e2342e.2b236bcbb74ce2f85e3d3160d9b52236.jpeg | https://i5.walmartimages.com/asr/2f4285d4-4c45-494d-8eb5-63085eac9d66_1.6a8a578ebc6f354f12e190958f5e328a.jpeg,5
885,Candle Warmers Etc. Rustic Brown Hurricane Candle Warmer Lantern,10,"candle, warmers, etc",https://i5.walmartimages.com/asr/54376245-b5c1-4d6a-9972-bc41a2a825ea_1.f46b3671e8d222adc37867e197457837.png | https://i5.walmartimages.com/asr/91904d9e-c5bd-47a9-a9e3-c5ba4070103f_1.3a83b6ca0e7f670e6c016b80ba0194c8.png,5
3140,"Recovery Complex Anti-Frizz Shine Serum by Bain de Terre for Unisex, 4.2 oz",4,"bain, de, terre",https://i5.walmartimages.com/asr/fcdb4d2e-3727-4bc4-bb2a-63c585c236b0_1.4c8c7111e5dde79bad7e54b6f71a8781.jpeg | https://i5.walmartimages.com/asr/1e8c5630-bd1b-42bf-b29b-328734e30ea1_1.1c9ebfea6bdb2db875f2dad0f9e29b76.jpeg | https://i5.walmartimages.com/asr/a0be5e6f-2b7d-4949-a146-c6d36fc1e3bc_1.f3060628a171205ba3854294a3a300fc.jpeg | https://i5.walmartimages.com/asr/681df146-a265-4f3e-87ed-face6fffcd8a_1.845d323e06801631b2ecaf4a5a3b21d2.jpeg,5
3137,"ReNew Life CleanseMore, Veggie Caps, 60 ea",15,"renew, life",https://i5.walmartimages.com/asr/9f707fe4-9ee3-4dc5-b230-0005d2ba6f29_1.3b8ea51118f73b8528bbc6b808dd4ba4.jpeg | https://i5.walmartimages.com/asr/3fdd4912-70c4-4d75-bb00-72e390c9d6ac_1.db8927d28da7bb33697d9eff3b206fb8.jpeg,5
436,"Alba Botanica Very Emollient Herbal Healing Body Lotion, 32 oz.",3,"alba, botanica",https://i5.walmartimages.com/asr/6050a2f0-3f91-4fb5-a0d3-07878bbe0f21.2ba494455079455da1f24ff0a193245c.jpeg | https://i5.walmartimages.com/asr/d02a790a-e633-48d5-b212-7c4459df1afa.e650e4fd76d46d26b06d88bbaeca72c4.jpeg,5
1704,"Groganics DHT Ice Oil Scalp Moisturizer, 4 oz",1,groganics,https://i5.walmartimages.com/asr/ed63df5f-b0a6-44d9-b38a-5385a3705609_1.40863f65eaff18db5473f244c56dc91e.jpeg | https://i5.walmartimages.com/asr/92659bd4-c994-4582-8c7a-107740d94e9a_1.88e5b0706d483956e06cd810bd97b061.jpeg,5
3846,Vega Chlorella Dietary Supplement Powder 5.3 oz. Bottle,1,vega,https://i5.walmartimages.com/asr/e8ddd649-4959-4454-9798-cc185525baa6_1.c98f8adaf041556d63baadedf00316a9.jpeg | https://i5.walmartimages.com/asr/530a22d0-2e8b-4adc-99ef-7ffe4991422e_1.d6323950626acdfcc07e10a688c65ef5.jpeg | https://i5.walmartimages.com/asr/bf1b0107-e155-4186-899e-7657a21426dd_1.d6b02a5cb8f9664a850ff6be3293a18a.jpeg,5
1707,Guerlain L\homme Ideal Eau De Toilette Spray for Men 3.3 oz,1,guerlain,https://i5.walmartimages.com/asr/2f141245-7503-494e-8354-17ae43e807b5_1.5490debb7c8f5c5ea1e03889242cd3da.jpeg | https://i5.walmartimages.com/asr/da361afc-5d0f-4322-a6ca-1af5d0a9761c_1.15f352c3e504c7e3e4388c2de97a318b.jpeg | https://i5.walmartimages.com/asr/85e18009-5568-4fe2-be71-1ef473b9adc4_1.15f352c3e504c7e3e4388c2de97a318b.jpeg,5
428,"Alaffia Body Lotion, Vanilla, 32 Oz",2,alaffia,https://i5.walmartimages.com/asr/2988c323-cb6f-4a45-9bd7-9029d981630c_1.d65b6410f1b5a72233cdab07e25e153b.jpeg | https://i5.walmartimages.com/asr/c773f069-a99d-4d06-a4ff-d4c839063929_1.3a72dc9092da4efd57530dc86a077c6d.jpeg,5
